network,scenario_id,true_source,horizon_h,n_total_nodes,rank_true_source,reciprocal_rank,specificity_pct,top1_source,top1_correct,top5_contains_true,posterior_true_source,nll_true_source,posterior_entropy,top1_top2_margin,candidate_set_size,sensor_design,sensor_count
Net3,29,145,24,97,44,0.022727272727272728,54.639175257731964,125,0,0,0.0011854039986171636,6.73767163539439,1.5438496152774077,0.015884129375829503,3,103;117;119;187;217,5
Net3,30,147,1,97,92,0.010869565217391304,5.154639175257736,10,0,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,30,147,2,97,92,0.010869565217391304,5.154639175257736,10,0,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,30,147,4,97,74,0.013513513513513514,23.71134020618557,120,0,0,0.013279750642524735,4.321514912028456,4.30114190908438,0.0010008548136452057,74,103;117;119;187;217,5
Net3,30,147,8,97,71,0.014084507042253521,26.80412371134021,120,0,0,0.013665276905450465,4.29289719596179,4.254249438238745,0.0037967082421697176,71,103;117;119;187;217,5
Net3,30,147,16,97,44,0.022727272727272728,54.639175257731964,120,0,0,0.017823707759285774,4.027225811282485,3.6784822871206604,0.015403491570856187,8,103;117;119;187;217,5
Net3,30,147,24,97,44,0.022727272727272728,54.639175257731964,125,0,0,0.0011854039986171636,6.73767163539439,1.5438496152774077,0.015884129375829503,3,103;117;119;187;217,5
Net3,31,149,1,97,92,0.010869565217391304,5.154639175257736,10,0,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,31,149,2,97,92,0.010869565217391304,5.154639175257736,10,0,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,31,149,4,97,74,0.013513513513513514,23.71134020618557,120,0,0,0.013279750642524735,4.321514912028456,4.30114190908438,0.0010008548136452057,74,103;117;119;187;217,5
Net3,31,149,8,97,71,0.014084507042253521,26.80412371134021,120,0,0,0.013665276905450465,4.29289719596179,4.254249438238745,0.0037967082421697176,71,103;117;119;187;217,5
Net3,31,149,16,97,44,0.022727272727272728,54.639175257731964,120,0,0,0.017823707759285774,4.027225811282485,3.6784822871206604,0.015403491570856187,8,103;117;119;187;217,5
Net3,31,149,24,97,44,0.022727272727272728,54.639175257731964,125,0,0,0.0011854039986171636,6.73767163539439,1.5438496152774077,0.015884129375829503,3,103;117;119;187;217,5
Net3,32,151,1,97,92,0.010869565217391304,5.154639175257736,10,0,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,32,151,2,97,92,0.010869565217391304,5.154639175257736,10,0,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,32,151,4,97,74,0.013513513513513514,23.71134020618557,120,0,0,0.013279750642524735,4.321514912028456,4.30114190908438,0.0010008548136452057,74,103;117;119;187;217,5
Net3,32,151,8,97,71,0.014084507042253521,26.80412371134021,120,0,0,0.013665276905450465,4.29289719596179,4.254249438238745,0.0037967082421697176,71,103;117;119;187;217,5
Net3,32,151,16,97,44,0.022727272727272728,54.639175257731964,120,0,0,0.017823707759285774,4.027225811282485,3.6784822871206604,0.015403491570856187,8,103;117;119;187;217,5
Net3,32,151,24,97,44,0.022727272727272728,54.639175257731964,125,0,0,0.0011854039986171636,6.73767163539439,1.5438496152774077,0.015884129375829503,3,103;117;119;187;217,5
Net3,33,153,1,97,92,0.010869565217391304,5.154639175257736,10,0,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,33,153,2,97,92,0.010869565217391304,5.154639175257736,10,0,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,33,153,4,97,74,0.013513513513513514,23.71134020618557,120,0,0,0.013279750642524735,4.321514912028456,4.30114190908438,0.0010008548136452057,74,103;117;119;187;217,5
Net3,33,153,8,97,71,0.014084507042253521,26.80412371134021,120,0,0,0.013665276905450465,4.29289719596179,4.254249438238745,0.0037967082421697176,71,103;117;119;187;217,5
Net3,33,153,16,97,44,0.022727272727272728,54.639175257731964,120,0,0,0.017823707759285774,4.027225811282485,3.6784822871206604,0.015403491570856187,8,103;117;119;187;217,5
Net3,33,153,24,97,44,0.022727272727272728,54.639175257731964,125,0,0,0.0011854039986171636,6.73767163539439,1.5438496152774077,0.015884129375829503,3,103;117;119;187;217,5
Net3,34,157,1,97,92,0.010869565217391304,5.154639175257736,10,0,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,34,157,2,97,92,0.010869565217391304,5.154639175257736,10,0,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,34,157,4,97,74,0.013513513513513514,23.71134020618557,120,0,0,0.013279750642524735,4.321514912028456,4.30114190908438,0.0010008548136452057,74,103;117;119;187;217,5
Net3,34,157,8,97,71,0.014084507042253521,26.80412371134021,120,0,0,0.013665276905450465,4.29289719596179,4.254249438238745,0.0037967082421697176,71,103;117;119;187;217,5
Net3,34,157,16,97,1,1.0,98.96907216494846,157,1,1,0.8476619094665325,0.16527341435571244,0.6320140232391692,0.7692269983007995,1,103;117;119;187;217,5
Net3,34,157,24,97,1,1.0,98.96907216494846,157,1,1,0.9363123548046232,0.06580614577604092,0.2840323081064657,0.8844390941506273,1,103;117;119;187;217,5
