condition,target,true,pred,n
drop_CP,pump,2,2,120
dropgroup_PRESSURE,valve,73,73,63
dropgroup_PRESSURE,valve,73,80,15
dropgroup_PRESSURE,valve,73,90,0
dropgroup_PRESSURE,valve,73,100,12
dropgroup_PRESSURE,valve,80,73,15
dropgroup_PRESSURE,valve,80,80,50
dropgroup_PRESSURE,valve,80,90,20
dropgroup_PRESSURE,valve,80,100,5
dropgroup_PRESSURE,valve,90,73,1
dropgroup_PRESSURE,valve,90,80,42
dropgroup_PRESSURE,valve,90,90,3
dropgroup_PRESSURE,valve,90,100,44
dropgroup_PRESSURE,valve,100,73,1
dropgroup_PRESSURE,valve,100,80,19
dropgroup_PRESSURE,valve,100,90,38
dropgroup_PRESSURE,valve,100,100,32
dropgroup_PRESSURE,pump,0,0,119
dropgroup_PRESSURE,pump,0,1,0
dropgroup_PRESSURE,pump,0,2,1
dropgroup_PRESSURE,pump,1,0,0
dropgroup_PRESSURE,pump,1,1,118
dropgroup_PRESSURE,pump,1,2,2
dropgroup_PRESSURE,pump,2,0,0
dropgroup_PRESSURE,pump,2,1,0
dropgroup_PRESSURE,pump,2,2,120
dropgroup_TEMPERATURE,valve,73,73,82
dropgroup_TEMPERATURE,valve,73,80,8
dropgroup_TEMPERATURE,valve,73,90,0
dropgroup_TEMPERATURE,valve,73,100,0
dropgroup_TEMPERATURE,valve,80,73,10
dropgroup_TEMPERATURE,valve,80,80,69
dropgroup_TEMPERATURE,valve,80,90,11
dropgroup_TEMPERATURE,valve,80,100,0
dropgroup_TEMPERATURE,valve,90,73,2
dropgroup_TEMPERATURE,valve,90,80,18
dropgroup_TEMPERATURE,valve,90,90,36
dropgroup_TEMPERATURE,valve,90,100,34
dropgroup_TEMPERATURE,valve,100,73,2
dropgroup_TEMPERATURE,valve,100,80,10
dropgroup_TEMPERATURE,valve,100,90,23
dropgroup_TEMPERATURE,valve,100,100,55
dropgroup_TEMPERATURE,pump,0,0,119
dropgroup_TEMPERATURE,pump,0,1,0
dropgroup_TEMPERATURE,pump,0,2,1
dropgroup_TEMPERATURE,pump,1,0,0
dropgroup_TEMPERATURE,pump,1,1,119
dropgroup_TEMPERATURE,pump,1,2,1
dropgroup_TEMPERATURE,pump,2,0,0
dropgroup_TEMPERATURE,pump,2,1,0
dropgroup_TEMPERATURE,pump,2,2,120
dropgroup_FLOW,valve,73,73,81
dropgroup_FLOW,valve,73,80,9
dropgroup_FLOW,valve,73,90,0
dropgroup_FLOW,valve,73,100,0
dropgroup_FLOW,valve,80,73,12
dropgroup_FLOW,valve,80,80,67
dropgroup_FLOW,valve,80,90,11
dropgroup_FLOW,valve,80,100,0
dropgroup_FLOW,valve,90,73,3
dropgroup_FLOW,valve,90,80,25
dropgroup_FLOW,valve,90,90,25
dropgroup_FLOW,valve,90,100,37
dropgroup_FLOW,valve,100,73,2
dropgroup_FLOW,valve,100,80,13
dropgroup_FLOW,valve,100,90,34
dropgroup_FLOW,valve,100,100,41
dropgroup_FLOW,pump,0,0,119
dropgroup_FLOW,pump,0,1,0
dropgroup_FLOW,pump,0,2,1
dropgroup_FLOW,pump,1,0,0
dropgroup_FLOW,pump,1,1,120
dropgroup_FLOW,pump,1,2,0
dropgroup_FLOW,pump,2,0,0
dropgroup_FLOW,pump,2,1,0
dropgroup_FLOW,pump,2,2,120
dropgroup_OTHER,valve,73,73,73
dropgroup_OTHER,valve,73,80,17
dropgroup_OTHER,valve,73,90,0
dropgroup_OTHER,valve,73,100,0
dropgroup_OTHER,valve,80,73,12
dropgroup_OTHER,valve,80,80,65
dropgroup_OTHER,valve,80,90,13
dropgroup_OTHER,valve,80,100,0
dropgroup_OTHER,valve,90,73,3
dropgroup_OTHER,valve,90,80,35
dropgroup_OTHER,valve,90,90,21
dropgroup_OTHER,valve,90,100,31
dropgroup_OTHER,valve,100,73,1
dropgroup_OTHER,valve,100,80,19
dropgroup_OTHER,valve,100,90,21
dropgroup_OTHER,valve,100,100,49
dropgroup_OTHER,pump,0,0,119
dropgroup_OTHER,pump,0,1,1
dropgroup_OTHER,pump,0,2,0
dropgroup_OTHER,pump,1,0,0
dropgroup_OTHER,pump,1,1,120
dropgroup_OTHER,pump,1,2,0
dropgroup_OTHER,pump,2,0,0
dropgroup_OTHER,pump,2,1,0
dropgroup_OTHER,pump,2,2,120
noise_x2,valve,73,73,6
noise_x2,valve,73,80,47
noise_x2,valve,73,90,0
noise_x2,valve,73,100,37
noise_x2,valve,80,73,29
noise_x2,valve,80,80,5
noise_x2,valve,80,90,42
noise_x2,valve,80,100,14
noise_x2,valve,90,73,6
noise_x2,valve,90,80,37
noise_x2,valve,90,90,0
noise_x2,valve,90,100,47
noise_x2,valve,100,73,17
noise_x2,valve,100,80,34
noise_x2,valve,100,90,36
noise_x2,valve,100,100,3
noise_x2,pump,0,0,108
noise_x2,pump,0,1,11
noise_x2,pump,0,2,1
noise_x2,pump,1,0,15
noise_x2,pump,1,1,86
noise_x2,pump,1,2,19
noise_x2,pump,2,0,0
noise_x2,pump,2,1,15
noise_x2,pump,2,2,105
noise_x4,valve,73,73,8
noise_x4,valve,73,80,38
noise_x4,valve,73,90,4
