condition,family,target,split,n,n_sensors,balanced_accuracy,macro_f1,auroc_ovr_macro,log_loss,brier
noise_x2,noise,pump,test,360,17,0.8305555555555556,0.8291370187921911,0.9363368055555555,0.5015025341836651,0.2885265111111111
noise_x4,noise,valve,train,849,17,1.0,1.0,1.0,0.27238890844069996,0.08227216961130743
noise_x4,noise,valve,valid,240,17,0.17916666666666667,0.17360555910883702,0.3651041666666667,1.7306542465705976,0.8854492333333333
noise_x4,noise,valve,test,360,17,0.049999999999999996,0.04882251536047118,0.2940740740740741,1.8496115039740784,0.9617406000000001
noise_x4,noise,pump,train,849,17,1.0,1.0,1.0,0.124507263972505,0.031347665488810364
noise_x4,noise,pump,valid,240,17,0.7083333333333334,0.7112862495927011,0.8909505208333334,0.6078283901382306,0.3628949333333333
noise_x4,noise,pump,test,360,17,0.7388888888888889,0.7374245826207017,0.8761921296296297,0.6583387093058997,0.39266433333333334
noise_x8,noise,valve,train,849,17,1.0,1.0,1.0,0.28598757580231554,0.08792242167255594
noise_x8,noise,valve,valid,240,17,0.17916666666666667,0.17531736281736282,0.37122685185185184,1.6597086882237586,0.8662926333333334
noise_x8,noise,valve,test,360,17,0.05833333333333333,0.05444706933980335,0.29088477366255144,1.7761404105676373,0.9327605555555556
noise_x8,noise,pump,train,849,17,1.0,1.0,1.0,0.14233141770803323,0.03777385159010601
noise_x8,noise,pump,valid,240,17,0.6625,0.6670079284527013,0.8457421875,0.6913956697554303,0.418571
noise_x8,noise,pump,test,360,17,0.6444444444444445,0.6416963208532295,0.8278414351851852,0.7556714714548407,0.45795955555555556
downsample_2,downsample,valve,train,849,17,1.0,1.0,1.0,0.04957657823205792,0.0060797267373380445
downsample_2,downsample,valve,valid,240,17,0.7375,0.7285023926656208,0.9352430555555555,0.6860700087393421,0.35928273333333327
downsample_2,downsample,valve,test,360,17,0.7944444444444445,0.7934007735209108,0.955025720164609,0.6270141343295755,0.3319805777777778
downsample_2,downsample,pump,train,849,17,1.0,1.0,1.0,0.007253041949031267,0.0009069116607773855
downsample_2,downsample,pump,valid,240,17,0.9958333333333332,0.9958331705665585,0.9999609375,0.08836697489333982,0.03419780000000001
downsample_2,downsample,pump,test,360,17,0.9944444444444445,0.9944557787844209,0.9999884259259259,0.05458945489966933,0.01816628888888889
downsample_5,downsample,valve,train,849,17,1.0,1.0,1.0,0.03994052716556805,0.005136348645465253
downsample_5,downsample,valve,valid,240,17,0.6875,0.652599505709389,0.9238425925925926,0.6033105366487591,0.36808613333333334
downsample_5,downsample,valve,test,360,17,0.8333333333333334,0.8304144452324113,0.9548508230452675,0.50688673341107,0.2785026222222222
downsample_5,downsample,pump,train,849,17,1.0,1.0,1.0,0.009193816201770502,0.0010077455830388696
downsample_5,downsample,pump,valid,240,17,0.9916666666666667,0.991691901545151,0.99984375,0.11049191219172598,0.04391413333333332
downsample_5,downsample,pump,test,360,17,0.9972222222222222,0.9972221739960764,1.0,0.07821825789495254,0.028930311111111114
downsample_10,downsample,valve,train,849,17,1.0,1.0,1.0,0.033785671942377436,0.0038619929328621914
downsample_10,downsample,valve,valid,240,17,0.7875000000000001,0.7815924984106801,0.9581481481481481,0.4968218885998496,0.2752067
downsample_10,downsample,valve,test,360,17,0.9083333333333333,0.9067610937667347,0.9838220164609054,0.4077709050435555,0.20590177777777777
downsample_10,downsample,pump,train,849,17,1.0,1.0,1.0,0.012866681477731685,0.001388221436984688
downsample_10,downsample,pump,valid,240,17,0.9666666666666667,0.966615490737059,0.9992838541666665,0.1591681241212137,0.0753934
downsample_10,downsample,pump,test,360,17,0.9972222222222222,0.9972221739960764,1.0,0.09121135991133997,0.029466311111111112
bias_PS1,bias,valve,train,849,17,1.0,1.0,1.0,0.05739951809279447,0.007963354534746761
bias_PS1,bias,valve,valid,240,17,0.5666666666666667,0.5197950709193895,0.8065393518518519,0.9556739407977362,0.5466982666666668
bias_PS1,bias,valve,test,360,17,0.6527777777777778,0.6389958107329851,0.8806378600823045,0.8055699620315775,0.4613286444444444
bias_PS1,bias,pump,train,849,17,1.0,1.0,1.0,0.007067483418936528,0.0009103415783274444
bias_PS1,bias,pump,valid,240,17,0.9958333333333332,0.9958331705665585,0.9999479166666667,0.0875411606218426,0.034240933333333334
bias_PS1,bias,pump,test,360,17,0.9972222222222222,0.9972221739960764,1.0,0.05085629285697747,0.0168742
bias_PS3,bias,valve,train,849,17,1.0,1.0,1.0,0.05740935779304691,0.007964419316843345
bias_PS3,bias,valve,valid,240,17,0.5666666666666667,0.5197950709193895,0.8065509259259259,0.9556208615236634,0.5466772000000001
bias_PS3,bias,valve,test,360,17,0.6527777777777778,0.6389958107329851,0.8806327160493828,0.8055699620315775,0.46132695555555553
bias_PS3,bias,pump,train,849,17,1.0,1.0,1.0,0.007069846220734957,0.0009103698468786811
bias_PS3,bias,pump,valid,240,17,0.9958333333333332,0.9958331705665585,0.9999479166666667,0.0875411606218426,0.034240933333333334
bias_PS3,bias,pump,test,360,17,0.9972222222222222,0.9972221739960764,1.0,0.05085629285697747,0.0168742
bias_TS1,bias,valve,train,849,17,1.0,1.0,1.0,0.057409436941317914,0.007964786808009423
