dataset,model,score,auroc,auprc,aurc,auroc_calib
STEEL,M4_hist_gradient_boosting,ISO_RAW,0.7381508336405719,0.39860185321252706,0.10015955465022665,0.7040656291470624
STEEL,M4_hist_gradient_boosting,ISO_FROZEN_ORACLE,0.7998443324730654,0.5242431995540872,0.0755182847327886,0.7878312623155186
STEEL,M4_hist_gradient_boosting,COMBO_best_plus_iso,0.8004997746917374,0.5142053055619661,0.07830814624124736,
HAR,M1_logreg,B1_max_prob,0.90040016760947,0.3758201814262583,0.00901572564796251,0.8412076979936951
HAR,M1_logreg,B2_entropy,0.8982170542635659,0.3270118495715978,0.00913466721464414,0.840439301021705
HAR,M1_logreg,B3_margin,0.9006411062225016,0.3805775325734583,0.009019759848851307,0.8419030534284236
HAR,M1_logreg,B4_knn_dist,0.5205635868426566,0.11248316914786063,0.056966950926259564,0.6069985479342392
HAR,M1_logreg,B5_mahalanobis,0.5387575948041065,0.1215150258309087,0.05493963699209524,0.6264159101998125
HAR,M1_logreg,B6_conformal_aps,0.7022805363503037,0.10729312314023366,0.02555059251335068,0.6444060408272977
HAR,M1_logreg,ISO_FIT,0.8132704797821076,0.38279395173331293,0.019572744829015495,0.8509923423252335
HAR,M1_logreg,ISO_RAW,0.6335386549340037,0.19006078381252886,0.05651280738566279,0.505339336373809
HAR,M1_logreg,ISO_FROZEN_ORACLE,0.893050492352818,0.49439009290317815,0.009697365931905847,0.8958047862658537
HAR,M1_logreg,COMBO_best_plus_iso,0.8748522941546197,0.46212017622894863,0.013325122929490446,
HAR,M2_rbf_svm,B1_max_prob,0.9166808780755857,0.3144092196530646,0.00599232538707282,0.8408252878834602
HAR,M2_rbf_svm,B2_entropy,0.9130072288700035,0.2950227469467306,0.0061772580450888525,0.8277364413413564
HAR,M2_rbf_svm,B3_margin,0.9166169267354499,0.31461230999695494,0.006012557848853679,0.8469928071964935
HAR,M2_rbf_svm,B4_knn_dist,0.4655397019393836,0.05990552894740049,0.056181462717300075,0.5390701805712599
HAR,M2_rbf_svm,B5_mahalanobis,0.47444551819534053,0.06132740422563707,0.05616823765264006,0.56168968943641
HAR,M2_rbf_svm,B6_conformal_aps,0.660105732882358,0.08395634990762646,0.0281702217845905,0.5494798461810141
HAR,M2_rbf_svm,ISO_FIT,0.8233071843409222,0.40995843808662946,0.016985861156409095,0.8900283864029921
HAR,M2_rbf_svm,ISO_RAW,0.7047200826156572,0.23093734890999998,0.03347730781701787,0.5701186324975553
HAR,M2_rbf_svm,ISO_FROZEN_ORACLE,0.9328653042662649,0.5535040515042371,0.005527763664130904,0.918153855885632
HAR,M2_rbf_svm,COMBO_best_plus_iso,0.9133056684573042,0.45844407714437435,0.007033533559106962,
HAR,M3_random_forest,B1_max_prob,0.8964133854131259,0.3948560800538262,0.012846148993319255,0.8487827005324737
HAR,M3_random_forest,B2_entropy,0.8369699572937461,0.27274984787889683,0.01835934552048045,0.8230234911635833
HAR,M3_random_forest,B3_margin,0.9037054319141178,0.4232217970180276,0.012252267254501308,0.8608260925914181
HAR,M3_random_forest,B4_knn_dist,0.5066809638881851,0.09220191742791511,0.07666678721654863,0.5795691126632786
HAR,M3_random_forest,B5_mahalanobis,0.49533537697076074,0.09173621873307947,0.08017603829189592,0.5959541923688877
HAR,M3_random_forest,B6_conformal_aps,0.5584677045543037,0.09235291751934667,0.06713377849005162,0.5913643294994857
HAR,M3_random_forest,ISO_FIT,0.8519882202431351,0.5950958388456072,0.02405296896567734,0.8853706221201334
