dataset,model,score,status,n_test,n_errors_test,test_accuracy,augrc,aurc,error_capture_5,residual_error_5,lift_5,error_capture_10,residual_error_10,lift_10,error_capture_20,residual_error_20,lift_20
adult,M2_random_forest,MCP_RISK,OK,9768,1307,0.8661957411957412,0.027136204078771646,0.03382028469576547,0.180566182096404,0.11542192046556742,3.6113236419280796,0.32364192807957154,0.10055738823797065,3.2364192807957153,0.5715378729915838,0.07166624008190428,2.8576893649579187
adult,M2_random_forest,ENTROPY_RISK,OK,9768,1307,0.8661957411957412,0.027136204078771646,0.03382028469576547,0.180566182096404,0.11542192046556742,3.6113236419280796,0.32364192807957154,0.10055738823797065,3.2364192807957153,0.5715378729915838,0.07166624008190428,2.8576893649579187
adult,M2_random_forest,MARGIN_RISK,OK,9768,1307,0.8661957411957412,0.027136204078771646,0.03382028469576547,0.180566182096404,0.11542192046556742,3.6113236419280796,0.32364192807957154,0.10055738823797065,3.2364192807957153,0.5715378729915838,0.07166624008190428,2.8576893649579187
adult,M2_random_forest,ISO_PRED,OK,9768,1307,0.8661957411957412,0.0424611532182171,0.06582181044139679,0.12853863810252486,0.12275029636814312,2.570772762050497,0.2364192807957154,0.11352519622341031,2.3641928079571537,0.41239479724560063,0.098285129255183,2.061973986228003
adult,M2_random_forest,STANDARD_META,OK,9768,1307,0.8661957411957412,0.027136204078771646,0.03382028469576547,0.180566182096404,0.11542192046556742,3.6113236419280796,0.32364192807957154,0.10055738823797065,3.2364192807957153,0.5715378729915838,0.07166624008190428,2.8576893649579187
adult,M2_random_forest,ISO_META,OK,9768,1307,0.8661957411957412,0.027086588626822044,0.033673363934899156,0.16908951798010713,0.11703847397348852,3.3817903596021424,0.3259372609028309,0.10021613013309066,3.259372609028309,0.576893649579189,0.07077041208088047,2.8844682478959447
adult,M3_gradient_boosting,MCP_RISK,OK,9768,1216,0.8755118755118755,0.023983537228316098,0.02944087233124153,0.18009868421052633,0.10744692315982325,3.6019736842105265,0.33223684210526316,0.09236719372085087,3.3223684210526314,0.5838815789473685,0.06475556693114921,2.919407894736842
adult,M3_gradient_boosting,ENTROPY_RISK,OK,9768,1216,0.8755118755118755,0.023983537228316098,0.02944087233124153,0.18009868421052633,0.10744692315982325,3.6019736842105265,0.33223684210526316,0.09236719372085087,3.3223684210526314,0.5838815789473685,0.06475556693114921,2.919407894736842
adult,M3_gradient_boosting,MARGIN_RISK,OK,9768,1216,0.8755118755118755,0.023983537228316098,0.02944087233124153,0.18009868421052633,0.10744692315982325,3.6019736842105265,0.33223684210526316,0.09236719372085087,3.3223684210526314,0.5838815789473685,0.06475556693114921,2.919407894736842
adult,M3_gradient_boosting,ISO_PRED,OK,9768,1216,0.8755118755118755,0.040203482463924724,0.06168058359747067,0.11842105263157894,0.11552969069942881,2.3684210526315788,0.22615131578947367,0.10704129223069048,2.2615131578947367,0.4037828947368421,0.0927821858203225,2.01891447368421
adult,M3_gradient_boosting,STANDARD_META,OK,9768,1216,0.8755118755118755,0.02398416606801128,0.02944153571247539,0.18009868421052633,0.10744692315982325,3.6019736842105265,0.33223684210526316,0.09236719372085087,3.3223684210526314,0.5838815789473685,0.06475556693114921,2.919407894736842
adult,M3_gradient_boosting,ISO_META,OK,9768,1216,0.8755118755118755,0.024033446138790118,0.029453124155925173,0.171875,0.10852462549843733,3.4375,0.32730263157894735,0.09304970993061085,3.2730263157894735,0.5797697368421053,0.06539544407473764,2.8988486842105265
adult,M4_rbf_svm,MCP_RISK,OK,9768,1497,0.8467444717444718,0.03898181462677778,0.05509072661216729,0.1516366065464262,0.1368681970039875,3.032732130928524,0.2772211088844355,0.12308042316005005,2.772211088844355,0.48296593186372744,0.09905298182748912,2.414829659318637
adult,M4_rbf_svm,ENTROPY_RISK,OK,9768,1497,0.8467444717444718,0.03898181462677778,0.05509072661216729,0.1516366065464262,0.1368681970039875,3.032732130928524,0.2772211088844355,0.12308042316005005,2.772211088844355,0.48296593186372744,0.09905298182748912,2.414829659318637
adult,M4_rbf_svm,MARGIN_RISK,OK,9768,1497,0.8467444717444718,0.03898181462677778,0.05509072661216729,0.1516366065464262,0.1368681970039875,3.032732130928524,0.2772211088844355,0.12308042316005005,2.772211088844355,0.48296593186372744,0.09905298182748912,2.414829659318637
adult,M4_rbf_svm,ISO_PRED,OK,9768,1497,0.8467444717444718,0.04973812809347208,0.07719978646043854,0.13159652638610556,0.14010130401982973,2.631930527722111,0.23313293253173012,0.13058810146740985,2.331329325317301,0.40414161656646624,0.1141540824161761,2.020708082832331
adult,M4_rbf_svm,STANDARD_META,OK,9768,1497,0.8467444717444718,0.03906790278104775,0.055183144302609725,0.14228456913827656,0.1383769802780472,2.845691382765531,0.2738810955243821,0.12364918666818336,2.738810955243821,0.48296593186372744,0.09905298182748912,2.414829659318637
