year,budget,method,event,leak_type,diameter_m,failure,localisation_m,delay_h,fo_visibility_dS,fo_neg_visibility,snr,neg_snr,isolability_margin,neg_isolability_margin,smallest_sv,neg_smallest_sv
2019,12,E_optimal_observable_subspace,p455,incipient,0.012722,0,3037.708350000001,67.66666666666667,9.355360344620724,-9.355360344620724,0.006535545863887494,-0.006535545863887494,0.00029112086509530677,-0.00029112086509530677,3.202713445983256e-07,-3.202713445983256e-07
2019,12,E_optimal_observable_subspace,p762,incipient,0.01519,0,1062.39815,113.58333333333333,8.360221503336952,-8.360221503336952,0.007107652271536493,-0.007107652271536493,9.50533445398527e-06,-9.50533445398527e-06,2.1651371170347337e-07,-2.1651371170347337e-07
2019,12,E_optimal_observable_subspace,p426,abrupt,0.015008,0,1518.8321500000002,63.0,5.045639343646333,-5.045639343646333,0.00844494967727443,-0.00844494967727443,6.567293199322144e-05,-6.567293199322144e-05,3.15508291351264e-07,-3.15508291351264e-07
2019,12,E_optimal_observable_subspace,p879,incipient,0.013195,0,317.5642,115.0,6.242604254021873,-6.242604254021873,0.004047541709472795,-0.004047541709472795,0.00010140813989167885,-0.00010140813989167885,2.0754567511760127e-07,-2.0754567511760127e-07
2019,12,bayesian_information_gain,p257,incipient,0.011843,0,2878.9772500000017,14.583333333333334,27.113118281151092,-27.113118281151092,0.01835130638392207,-0.01835130638392207,0.005745430474662139,-0.005745430474662139,1.0796396563161449e-07,-1.0796396563161449e-07
2019,12,bayesian_information_gain,p427,incipient,0.0090731,0,1483.6390999999999,378.9166666666667,5.04771002466793,-5.04771002466793,0.008694058020122752,-0.008694058020122752,8.509800330325223e-05,-8.509800330325223e-05,3.242327685458548e-08,-3.242327685458548e-08
2019,12,bayesian_information_gain,p810,incipient,0.010028,0,535.4985999999999,574.1666666666666,9.44115358585011,-9.44115358585011,0.007590851803562312,-0.007590851803562312,1.3865380386834936e-05,-1.3865380386834936e-05,1.4400422131737457e-07,-1.4400422131737457e-07
2019,12,bayesian_information_gain,p654,incipient,0.0087735,0,1847.7817,773.4166666666666,7.506284102664712,-7.506284102664712,0.00914319866491156,-0.00914319866491156,0.0005615695791816311,-0.0005615695791816311,3.0324259778949215e-07,-3.0324259778949215e-07
2019,12,bayesian_information_gain,p523,abrupt,0.020246,1,,,7.5862149299221135,-7.5862149299221135,0.005360309581105433,-0.005360309581105433,1.9090430503965194e-05,-1.9090430503965194e-05,4.350328377660446e-07,-4.350328377660446e-07
2019,12,bayesian_information_gain,p827,abrupt,0.02025,1,,,8.938175374452902,-8.938175374452902,0.0072533862757076205,-0.0072533862757076205,1.1189369090169876e-05,-1.1189369090169876e-05,1.568542456072056e-07,-1.568542456072056e-07
2019,12,bayesian_information_gain,p280,abrupt,0.0095008,0,740.50355,244.83333333333334,31.48530195434981,-31.48530195434981,0.011642440795682642,-0.011642440795682642,0.00016690667736818376,-0.00016690667736818376,3.236990832348646e-07,-3.236990832348646e-07
