design_id,size,rep,split,n,n_fail,accuracy,auroc_fo_d_S,auprc_fo_d_S,auroc_entropy,auprc_entropy,auroc_top1_top2_margin,auprc_top1_top2_margin,auroc_snr_mean,auprc_snr_mean,auroc_count_above_3sigma,auprc_count_above_3sigma,auroc_smallest_singular_value,auprc_smallest_singular_value,auroc_design_size,auprc_design_size
32,24,12,test,315,56,0.8222222222222222,0.7986072807501379,0.49143450002079175,0.8954081632653061,0.5526776959880497,0.9196428571428571,0.612367803659228,0.7881618863761721,0.4876065051054192,0.7515512961941533,0.431015188149584,0.7633756205184776,0.4436967814305035,0.5,0.17777777777777778
33,24,13,val,210,37,0.8238095238095238,0.9365724105608499,0.8357218278058172,0.9236056866114669,0.6592372307496995,0.9223558818934542,0.6645608432064237,0.9342290267145759,0.8079633187847706,0.9212623027651928,0.7334144035818589,0.9109514138415872,0.7667269424029374,0.5,0.1761904761904762
33,24,13,test,315,61,0.8063492063492064,0.830805473086356,0.747123109102487,0.9075125855169743,0.6933769413110792,0.9416871046856847,0.7028078197442361,0.831547695882277,0.7123176465118668,0.825771266296631,0.6526135977418825,0.8075384019620498,0.6609437674742079,0.5,0.19365079365079366
34,24,14,val,210,25,0.8809523809523809,0.8940540540540541,0.5827497403620878,0.8947027027027027,0.4624111040488054,0.8858378378378379,0.4511665375365082,0.8987027027027028,0.5916394462187882,0.8674594594594595,0.5245974640017194,0.9073513513513514,0.6092364818177608,0.5,0.11904761904761904
34,24,14,test,315,38,0.8793650793650793,0.838257647729432,0.43574935064231224,0.8841915257457724,0.4131966551888348,0.9170150104503135,0.5992221607973512,0.8422952688580658,0.43560820770203135,0.8009690290708722,0.37222256452762137,0.8360250807524225,0.4052094743069564,0.5,0.12063492063492064
35,24,15,val,210,53,0.7476190476190476,0.9348635981252253,0.8238390653899732,0.9441172935945199,0.8454259487216222,0.9281336377839202,0.7381824582822939,0.9473620959019349,0.852267687776874,0.9423747145775748,0.8200830282249179,0.9301766614589593,0.8332018341922063,0.5,0.2523809523809524
35,24,15,test,315,86,0.726984126984127,0.9239616126739107,0.8138350911345764,0.932872956230324,0.7741818639736131,0.9212196608103991,0.7204345196397767,0.942622118411699,0.8815874162498145,0.9358687925256424,0.8193573637391987,0.914796384685691,0.8362223301936688,0.5,0.273015873015873
36,24,16,val,210,39,0.8142857142857143,0.9468436047383417,0.8723305993472771,0.9437696806117859,0.766642563246064,0.9496176338281601,0.8404529408867276,0.9427200479832059,0.8377705116400784,0.8852901484480432,0.6243988059225323,0.9316239316239316,0.8313169336839882,0.5,0.18571428571428572
36,24,16,test,315,62,0.8031746031746032,0.8413872242764249,0.732164000038755,0.8990182328190743,0.7415224074741414,0.9493497386204259,0.7792442613866211,0.8316651791406349,0.6856531409269498,0.8007140124952186,0.5388552261352642,0.8413234731607803,0.6902577306203298,0.5,0.19682539682539682
37,24,17,val,210,35,0.8333333333333334,0.8711020408163266,0.5148465942542474,0.9387755102040818,0.7723903214171325,0.9158367346938775,0.5805512576776464,0.8777142857142857,0.5490662158509424,0.8151836734693878,0.4459198790627362,0.8461224489795919,0.47144184169801195,0.5,0.16666666666666666
