start_h,dur_h,strength,n_sensors,rmse,mae,bias,maxerr,spearman,curve
2,6,1000.0,92,25.99325878472375,21.7611683848797,-3.802405498281812,46.845360824742265,0.8798826901281199,5.2;5.2;99.0;99.0;99.0;99.0
1,2,1000.0,92,26.000287664364066,21.692141042880593,11.743687434633168,46.969072164948415,0.16129032258064516,5.2;99.0;99.0;99.0;98.9;98.5
1,6,100.0,92,26.005038015614023,21.707082025997284,11.758628417749861,46.969072164948415,0.16129032258064516,5.2;99.0;99.0;99.0;98.8;98.7
1,1,10000.0,92,26.009584009143147,21.720155386224388,11.771701777976963,46.969072164948415,0.16129032258064516,5.2;99.0;99.0;99.0;98.9;98.6
1,2,10000.0,92,26.03044026626501,21.781786941580723,11.8333333333333,46.969072164948415,0.6956083436402525,5.2;99.0;99.0;99.0;99.0;99.0
1,6,1000.0,92,26.03044026626501,21.781786941580723,11.8333333333333,46.969072164948415,0.6956083436402525,5.2;99.0;99.0;99.0;99.0;99.0
1,6,10000.0,92,26.03044026626501,21.781786941580723,11.8333333333333,46.969072164948415,0.6956083436402525,5.2;99.0;99.0;99.0;99.0;99.0
0,1,100.0,40,29.004618238075235,19.937322575825473,19.419617510832197,54.87001344688478,-0.21251185925162072,89.9;92.2;92.3;91.3;91.3;88.4
0,2,100.0,40,29.389467977281043,21.020170327207495,21.020170327207495,54.87001344688478,0.030358837035945815,89.9;93.1;93.4;92.9;93.1;92.8
0,6,100.0,40,29.49339207356309,21.660764978335553,21.660764978335553,54.87001344688478,0.9411239481143202,89.9;93.1;93.6;94.1;94.1;94.1
1,6,100.0,5,30.118469085821808,28.979829672792476,-28.979829672792476,44.280591662931435,0.9411239481143202,5.2;28.2;38.5;45.7;68.3;69.3
2,6,10000.0,5,30.76070550869232,26.27177648289258,-26.27177648289258,46.845360824742265,0.9240616554505461,5.2;5.2;42.4;49.3;84.5;84.9
2,2,10000.0,5,30.772400024428656,26.443597788734508,-26.443597788734508,46.845360824742265,0.9240616554505461,5.2;5.2;42.4;49.4;84.1;84.2
2,1,10000.0,5,30.846030295257133,26.822725235320487,-26.822725235320487,46.845360824742265,0.9240616554505461,5.2;5.2;42.4;49.4;82.9;83.0
1,1,100.0,5,31.435969188736237,30.17137307634842,-30.17137307634842,47.96727924697445,0.9411239481143202,5.2;28.2;38.7;42.0;67.0;66.9
1,2,100.0,5,31.450494094444498,30.191916928133868,-30.191916928133868,47.94486777229942,0.9411239481143202,5.2;28.2;38.7;42.1;66.9;66.9
0,1,1000.0,40,31.461609889253438,23.58068130883008,23.58068130883008,58.33258628417747,0.21251185925162072,93.3;95.5;95.7;95.5;95.5;95.0
0,1,10000.0,40,31.651535478751626,24.112953832362127,24.112953832362127,58.590318242940356,0.9411239481143202,93.6;95.5;95.9;95.9;96.2;96.6
2,6,1000.0,5,31.708945382784943,27.719184222321832,-27.719184222321832,46.845360824742265,0.9240616554505461,5.2;5.2;40.7;47.0;82.1;82.6
0,2,1000.0,40,31.755570051087915,24.25862841774985,24.25862841774985,58.33258628417747,0.5768179036829705,93.3;96.0;96.4;96.2;96.4;96.3
0,6,1000.0,40,31.898378368762256,24.80584192439859,24.80584192439859,58.33258628417747,0.9411239481143202,93.3;96.0;96.7;97.1;97.3;97.4
2,2,1000.0,5,31.943574818812678,28.189825190497533,-28.189825190497533,46.845360824742265,0.9240616554505461,5.2;5.2;40.7;46.3;81.2;81.2
0,2,10000.0,40,31.958470322264095,24.66390258479004,24.66390258479004,58.590318242940356,0.9411239481143202,93.6;96.1;96.6;96.6;96.9;97.2
2,1,1000.0,5,32.03674510433897,28.56148214552518,-28.56148214552518,46.845360824742265,0.9240616554505461,5.2;5.2;40.8;46.4;80.0;80.1
