noise_scale,design_id,design_size,B_star,B_star_support,B_dynamic,B_dynamic_support
2.0,84,6,0.06153846153846154,325,0.06711409395973154,298
2.0,85,6,0.18769230769230769,325,0.1342281879194631,298
2.0,86,6,0.06153846153846154,325,0.06711409395973154,298
2.0,87,6,0.15692307692307692,325,0.12751677852348994,298
2.0,88,6,0.021538461538461538,325,0.0,298
2.0,89,6,0.15692307692307692,325,0.12751677852348994,298
2.0,90,6,0.06153846153846154,325,0.06711409395973154,298
2.0,91,6,0.18153846153846154,325,0.12751677852348994,298
2.0,92,6,0.06153846153846154,325,0.06711409395973154,298
2.0,93,6,0.19692307692307692,325,0.14429530201342283,298
2.0,94,6,0.18153846153846154,325,0.12751677852348994,298
2.0,95,6,0.14153846153846153,325,0.12751677852348994,298
2.0,96,6,0.4369230769230769,325,0.38926174496644295,298
2.0,97,6,0.0,325,0.0,298
2.0,98,6,0.18153846153846154,325,0.12751677852348994,298
2.0,99,6,0.0,325,0.0,298
2.0,100,3,0.38461538461538464,325,0.3288590604026846,298
2.0,101,3,0.3230769230769231,325,0.26174496644295303,298
2.0,102,3,0.06153846153846154,325,0.06711409395973154,298
2.0,103,3,0.0,325,0.0,298
2.0,104,3,0.18461538461538463,325,0.12751677852348994,298
2.0,105,3,0.0,325,0.0,298
2.0,106,3,0.2,325,0.12751677852348994,298
2.0,107,3,0.3230769230769231,325,0.26174496644295303,298
2.0,108,3,0.2,325,0.12751677852348994,298
2.0,109,3,0.06153846153846154,325,0.06711409395973154,298
2.0,110,3,0.5107692307692308,325,0.4697986577181208,298
2.0,111,3,0.06153846153846154,325,0.06711409395973154,298
2.0,112,3,0.06153846153846154,325,0.06711409395973154,298
2.0,113,3,0.0,325,0.0,298
2.0,114,3,0.2,325,0.12751677852348994,298
2.0,115,3,0.18153846153846154,325,0.12751677852348994,298
2.0,116,3,0.06153846153846154,325,0.06711409395973154,298
2.0,117,3,0.18153846153846154,325,0.12751677852348994,298
2.0,118,3,0.0,325,0.0,298
2.0,119,3,0.15692307692307692,325,0.12751677852348994,298
4.0,0,41,0.04,325,0.0,292
4.0,1,41,0.04,325,0.0,292
4.0,2,41,0.04,325,0.0,292
4.0,3,41,0.04,325,0.0,292
4.0,4,41,0.04,325,0.0,292
4.0,5,41,0.04,325,0.0,292
4.0,6,41,0.04,325,0.0,292
4.0,7,41,0.04,325,0.0,292
4.0,8,41,0.04,325,0.0,292
4.0,9,41,0.04,325,0.0,292
4.0,10,41,0.04,325,0.0,292
4.0,11,41,0.04,325,0.0,292
4.0,12,41,0.04,325,0.0,292
4.0,13,41,0.04,325,0.0,292
4.0,14,41,0.04,325,0.0,292
4.0,15,41,0.04,325,0.0,292
4.0,16,41,0.04,325,0.0,292
4.0,17,41,0.04,325,0.0,292
4.0,18,41,0.04,325,0.0,292
4.0,19,41,0.04,325,0.0,292
4.0,20,24,0.052307692307692305,325,0.0,292
4.0,21,24,0.043076923076923075,325,0.0,292
4.0,22,24,0.07384615384615385,325,0.023972602739726026,292
4.0,23,24,0.052307692307692305,325,0.0,292
4.0,24,24,0.043076923076923075,325,0.0,292
4.0,25,24,0.046153846153846156,325,0.0,292
4.0,26,24,0.04,325,0.0,292
4.0,27,24,0.07076923076923076,325,0.023972602739726026,292
4.0,28,24,0.04,325,0.0,292
4.0,29,24,0.04,325,0.0,292
4.0,30,24,0.04923076923076923,325,0.0,292
4.0,31,24,0.046153846153846156,325,0.0,292
4.0,32,24,0.046153846153846156,325,0.0,292
4.0,33,24,0.04923076923076923,325,0.0,292
4.0,34,24,0.04923076923076923,325,0.0,292
4.0,35,24,0.06461538461538462,325,0.023972602739726026,292
4.0,36,24,0.043076923076923075,325,0.0,292
4.0,37,24,0.043076923076923075,325,0.0,292
4.0,38,24,0.04,325,0.0,292
4.0,39,24,0.07076923076923076,325,0.023972602739726026,292
4.0,40,16,0.046153846153846156,325,0.0,292
4.0,41,16,0.07384615384615385,325,0.023972602739726026,292
4.0,42,16,0.052307692307692305,325,0.0,292
4.0,43,16,0.046153846153846156,325,0.0,292
4.0,44,16,0.07384615384615385,325,0.023972602739726026,292
4.0,45,16,0.043076923076923075,325,0.0,292
4.0,46,16,0.043076923076923075,325,0.0,292
4.0,47,16,0.04923076923076923,325,0.0,292
4.0,48,16,0.07384615384615385,325,0.023972602739726026,292
4.0,49,16,0.04923076923076923,325,0.0,292
4.0,50,16,0.052307692307692305,325,0.0,292
4.0,51,16,0.046153846153846156,325,0.0,292
4.0,52,16,0.04923076923076923,325,0.0,292
4.0,53,16,0.04923076923076923,325,0.0,292
4.0,54,16,0.04923076923076923,325,0.0,292
4.0,55,16,0.052307692307692305,325,0.0,292
4.0,56,16,0.052307692307692305,325,0.0,292
4.0,57,16,0.04923076923076923,325,0.0,292
4.0,58,16,0.052307692307692305,325,0.0,292
4.0,59,16,0.07692307692307693,325,0.023972602739726026,292
4.0,60,10,0.07384615384615385,325,0.023972602739726026,292
4.0,61,10,0.07384615384615385,325,0.023972602739726026,292
4.0,62,10,0.052307692307692305,325,0.0,292
4.0,63,10,0.052307692307692305,325,0.0,292
4.0,64,10,0.07384615384615385,325,0.023972602739726026,292
4.0,65,10,0.052307692307692305,325,0.0,292
4.0,66,10,0.052307692307692305,325,0.0,292
4.0,67,10,0.07692307692307693,325,0.023972602739726026,292
4.0,68,10,0.052307692307692305,325,0.0,292
4.0,69,10,0.07076923076923076,325,0.00684931506849315,292
4.0,70,10,0.04923076923076923,325,0.0,292
4.0,71,10,0.07076923076923076,325,0.023972602739726026,292
4.0,72,10,0.04923076923076923,325,0.0,292
4.0,73,10,0.06461538461538462,325,0.023972602739726026,292
4.0,74,10,0.052307692307692305,325,0.0,292
4.0,75,10,0.07384615384615385,325,0.023972602739726026,292
4.0,76,10,0.07384615384615385,325,0.023972602739726026,292
4.0,77,10,0.055384615384615386,325,0.0,292
4.0,78,10,0.05846153846153846,325,0.0,292
4.0,79,10,0.07692307692307693,325,0.023972602739726026,292
4.0,80,6,0.07076923076923076,325,0.0,292
4.0,81,6,0.055384615384615386,325,0.0,292
4.0,82,6,0.07384615384615385,325,0.023972602739726026,292
4.0,83,6,0.07384615384615385,325,0.023972602739726026,292
4.0,84,6,0.08,325,0.0273972602739726,292
4.0,85,6,0.08307692307692308,325,0.0273972602739726,292
4.0,86,6,0.07076923076923076,325,0.023972602739726026,292
4.0,87,6,0.08,325,0.03424657534246575,292
4.0,88,6,0.05846153846153846,325,0.0,292
4.0,89,6,0.08,325,0.030821917808219176,292
4.0,90,6,0.07692307692307693,325,0.023972602739726026,292
4.0,91,6,0.08615384615384615,325,0.030821917808219176,292
4.0,92,6,0.06769230769230769,325,0.023972602739726026,292
4.0,93,6,0.07384615384615385,325,0.017123287671232876,292
4.0,94,6,0.08,325,0.030821917808219176,292
4.0,95,6,0.08307692307692308,325,0.0273972602739726,292
4.0,96,6,0.13846153846153847,325,0.08561643835616438,292
4.0,97,6,0.046153846153846156,325,0.0,292
4.0,98,6,0.08307692307692308,325,0.0273972602739726,292
4.0,99,6,0.07692307692307693,325,0.023972602739726026,292
4.0,100,3,0.12,325,0.06506849315068493,292
4.0,101,3,0.11384615384615385,325,0.06506849315068493,292
4.0,102,3,0.07692307692307693,325,0.023972602739726026,292
4.0,103,3,0.13846153846153847,325,0.05821917808219178,292
4.0,104,3,0.08923076923076922,325,0.030821917808219176,292
4.0,105,3,0.07692307692307693,325,0.023972602739726026,292
4.0,106,3,0.09230769230769231,325,0.03767123287671233,292
4.0,107,3,0.11384615384615385,325,0.06164383561643835,292
4.0,108,3,0.08923076923076922,325,0.030821917808219176,292
4.0,109,3,0.07692307692307693,325,0.023972602739726026,292
4.0,110,3,0.13230769230769232,325,0.07876712328767123,292
4.0,111,3,0.16307692307692306,325,0.07534246575342465,292
4.0,112,3,0.07692307692307693,325,0.023972602739726026,292
4.0,113,3,0.055384615384615386,325,0.0,292
4.0,114,3,0.09538461538461539,325,0.04452054794520548,292
4.0,115,3,0.09230769230769231,325,0.030821917808219176,292
4.0,116,3,0.07692307692307693,325,0.023972602739726026,292
4.0,117,3,0.08923076923076922,325,0.0410958904109589,292
4.0,118,3,0.11076923076923077,325,0.03424657534246575,292
4.0,119,3,0.19384615384615383,325,0.0958904109589041,292
8.0,0,41,0.6307692307692307,325,0.0,12
8.0,1,41,0.6307692307692307,325,0.0,12
8.0,2,41,0.6307692307692307,325,0.0,12
8.0,3,41,0.6307692307692307,325,0.0,12
8.0,4,41,0.6307692307692307,325,0.0,12
8.0,5,41,0.6307692307692307,325,0.0,12
8.0,6,41,0.6307692307692307,325,0.0,12
8.0,7,41,0.6307692307692307,325,0.0,12
8.0,8,41,0.6307692307692307,325,0.0,12
8.0,9,41,0.6307692307692307,325,0.0,12
8.0,10,41,0.6307692307692307,325,0.0,12
8.0,11,41,0.6307692307692307,325,0.0,12
8.0,12,41,0.6307692307692307,325,0.0,12
8.0,13,41,0.6307692307692307,325,0.0,12
8.0,14,41,0.6307692307692307,325,0.0,12
8.0,15,41,0.6307692307692307,325,0.0,12
8.0,16,41,0.6307692307692307,325,0.0,12
8.0,17,41,0.6307692307692307,325,0.0,12
8.0,18,41,0.6307692307692307,325,0.0,12
8.0,19,41,0.6307692307692307,325,0.0,12
8.0,20,24,0.8153846153846154,325,1.0,12
8.0,21,24,0.6923076923076923,325,1.0,12
8.0,22,24,0.7538461538461538,325,1.0,12
8.0,23,24,0.8153846153846154,325,1.0,12
8.0,24,24,0.6923076923076923,325,0.0,12
8.0,25,24,0.6923076923076923,325,1.0,12
8.0,26,24,0.6307692307692307,325,0.0,12
8.0,27,24,0.7538461538461538,325,1.0,12
8.0,28,24,0.6307692307692307,325,0.0,12
8.0,29,24,0.6307692307692307,325,0.0,12
8.0,30,24,0.6923076923076923,325,0.0,12
8.0,31,24,0.6923076923076923,325,1.0,12
8.0,32,24,0.7538461538461538,325,1.0,12
8.0,33,24,0.6923076923076923,325,0.0,12
8.0,34,24,0.7538461538461538,325,0.0,12
8.0,35,24,0.6307692307692307,325,0.0,12
8.0,36,24,0.6307692307692307,325,0.0,12
8.0,37,24,0.6923076923076923,325,1.0,12
8.0,38,24,0.6307692307692307,325,0.0,12
8.0,39,24,0.6923076923076923,325,0.0,12
8.0,40,16,0.6923076923076923,325,0.0,12
8.0,41,16,0.7538461538461538,325,0.0,12
8.0,42,16,0.7538461538461538,325,0.0,12
8.0,43,16,0.7538461538461538,325,1.0,12
8.0,44,16,0.7538461538461538,325,1.0,12
8.0,45,16,0.6923076923076923,325,1.0,12
8.0,46,16,0.6923076923076923,325,1.0,12
8.0,47,16,0.7538461538461538,325,1.0,12
8.0,48,16,0.7538461538461538,325,0.0,12
8.0,49,16,0.7538461538461538,325,1.0,12
8.0,50,16,0.7538461538461538,325,0.0,12
8.0,51,16,0.7538461538461538,325,1.0,12
8.0,52,16,0.6923076923076923,325,0.0,12
8.0,53,16,0.7538461538461538,325,0.0,12
8.0,54,16,0.7538461538461538,325,1.0,12
8.0,55,16,0.7538461538461538,325,1.0,12
8.0,56,16,0.8153846153846154,325,1.0,12
8.0,57,16,0.7538461538461538,325,1.0,12
8.0,58,16,0.8153846153846154,325,1.0,12
8.0,59,16,0.8153846153846154,325,1.0,12
8.0,60,10,0.7538461538461538,325,1.0,12
8.0,61,10,0.7538461538461538,325,1.0,12
8.0,62,10,0.7538461538461538,325,1.0,12
8.0,63,10,0.8153846153846154,325,1.0,12
8.0,64,10,0.7538461538461538,325,0.0,12
8.0,65,10,0.8153846153846154,325,1.0,12
8.0,66,10,0.8153846153846154,325,1.0,12
8.0,67,10,0.8153846153846154,325,1.0,12
8.0,68,10,0.8153846153846154,325,1.0,12
8.0,69,10,0.8153846153846154,325,1.0,12
8.0,70,10,0.7538461538461538,325,1.0,12
8.0,71,10,0.7538461538461538,325,1.0,12
8.0,72,10,0.7538461538461538,325,1.0,12
8.0,73,10,0.6307692307692307,325,0.0,12
8.0,74,10,0.8153846153846154,325,1.0,12
