budget,noise,demand,seed,method,false_forgetting_rate,recall,precision,f1,false_positives,battledim_score_eur
4,0.0,0.5,4,topological_dispersion,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,84370.77
4,0.0,0.5,4,centrality,0.08695652173913049,0.9130434782608695,0.5526315789473685,0.6885245901639344,17,5048.86
4,0.0,1.0,0,FO,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,49908.22
4,0.0,1.0,0,D_optimal_bayesian,0.04347826086956519,0.9565217391304348,0.4583333333333333,0.619718309859155,26,142725.97
4,0.0,1.0,0,A_optimal_bayesian,0.04347826086956519,0.9565217391304348,0.4583333333333333,0.619718309859155,26,142725.97
4,0.0,1.0,0,E_optimal_observable_subspace,0.04347826086956519,0.9565217391304348,0.4489795918367347,0.6111111111111112,27,141461.84
4,0.0,1.0,0,bayesian_information_gain,0.04347826086956519,0.9565217391304348,0.4583333333333333,0.619718309859155,26,142725.97
4,0.0,1.0,0,D_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.4489795918367347,0.6111111111111112,27,147446.32
4,0.0,1.0,0,A_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.4782608695652174,0.6376811594202898,24,73437.92
4,0.0,1.0,0,E_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.4583333333333333,0.619718309859155,26,103293.44
4,0.0,1.0,0,goal_oriented_oed,0.04347826086956519,0.9565217391304348,0.4489795918367347,0.6111111111111112,27,130028.97
4,0.0,1.0,0,topological_dispersion,0.04347826086956519,0.9565217391304348,0.4583333333333333,0.619718309859155,26,107015.87
4,0.0,1.0,0,centrality,0.04347826086956519,0.9565217391304348,0.5,0.6567164179104478,22,11214.76
4,0.0,1.0,1,FO,0.08695652173913049,0.9130434782608695,0.45652173913043476,0.608695652173913,25,87226.9
4,0.0,1.0,1,D_optimal_bayesian,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,145609.49
4,0.0,1.0,1,A_optimal_bayesian,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,145609.49
4,0.0,1.0,1,E_optimal_observable_subspace,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,142811.33
4,0.0,1.0,1,bayesian_information_gain,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,145609.49
4,0.0,1.0,1,D_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,96511.15
4,0.0,1.0,1,A_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,36718.09
4,0.0,1.0,1,E_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.4489795918367347,0.6111111111111112,27,117058.58
4,0.0,1.0,1,goal_oriented_oed,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,130689.64
4,0.0,1.0,1,topological_dispersion,0.04347826086956519,0.9565217391304348,0.4583333333333333,0.619718309859155,26,122894.81
4,0.0,1.0,1,centrality,0.08695652173913049,0.9130434782608695,0.4883720930232558,0.6363636363636364,22,43920.86
4,0.0,1.0,2,FO,0.04347826086956519,0.9565217391304348,0.4888888888888889,0.6470588235294117,23,54223.61
4,0.0,1.0,2,D_optimal_bayesian,0.04347826086956519,0.9565217391304348,0.4489795918367347,0.6111111111111112,27,134395.43
4,0.0,1.0,2,A_optimal_bayesian,0.04347826086956519,0.9565217391304348,0.4489795918367347,0.6111111111111112,27,134395.43
4,0.0,1.0,2,E_optimal_observable_subspace,0.04347826086956519,0.9565217391304348,0.4583333333333333,0.619718309859155,26,152886.14
4,0.0,1.0,2,bayesian_information_gain,0.04347826086956519,0.9565217391304348,0.4489795918367347,0.6111111111111112,27,134395.43
4,0.0,1.0,2,D_optimal_rank_reduced,0.08695652173913049,0.9130434782608695,0.4375,0.5915492957746479,27,37409.7
4,0.0,1.0,2,A_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.4888888888888889,0.6470588235294117,23,56334.09
4,0.0,1.0,2,E_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.4489795918367347,0.6111111111111112,27,143950.98
4,0.0,1.0,2,goal_oriented_oed,0.04347826086956519,0.9565217391304348,0.4583333333333333,0.619718309859155,26,90026.93
4,0.0,1.0,2,topological_dispersion,0.04347826086956519,0.9565217391304348,0.4583333333333333,0.619718309859155,26,91969.34
4,0.0,1.0,2,centrality,0.08695652173913049,0.9130434782608695,0.5,0.6461538461538461,21,33162.69
4,0.0,1.0,3,FO,0.04347826086956519,0.9565217391304348,0.4583333333333333,0.619718309859155,26,70581.58
4,0.0,1.0,3,D_optimal_bayesian,0.04347826086956519,0.9565217391304348,0.4489795918367347,0.6111111111111112,27,91389.09
4,0.0,1.0,3,A_optimal_bayesian,0.04347826086956519,0.9565217391304348,0.4489795918367347,0.6111111111111112,27,91389.09
4,0.0,1.0,3,E_optimal_observable_subspace,0.04347826086956519,0.9565217391304348,0.4489795918367347,0.6111111111111112,27,110774.96
4,0.0,1.0,3,bayesian_information_gain,0.04347826086956519,0.9565217391304348,0.4489795918367347,0.6111111111111112,27,91389.09
4,0.0,1.0,3,D_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.4583333333333333,0.619718309859155,26,79636.27
4,0.0,1.0,3,A_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.4583333333333333,0.619718309859155,26,113376.8
4,0.0,1.0,3,E_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.4489795918367347,0.6111111111111112,27,132089.73
4,0.0,1.0,3,goal_oriented_oed,0.04347826086956519,0.9565217391304348,0.4583333333333333,0.619718309859155,26,105191.02
4,0.0,1.0,3,topological_dispersion,0.04347826086956519,0.9565217391304348,0.4489795918367347,0.6111111111111112,27,151392.09
4,0.0,1.0,3,centrality,0.04347826086956519,0.9565217391304348,0.4888888888888889,0.6470588235294117,23,10866.57
4,0.0,1.0,4,FO,0.08695652173913049,0.9130434782608695,0.45652173913043476,0.608695652173913,25,30774.12
4,0.0,1.0,4,D_optimal_bayesian,0.04347826086956519,0.9565217391304348,0.4583333333333333,0.619718309859155,26,51389.34
4,0.0,1.0,4,A_optimal_bayesian,0.04347826086956519,0.9565217391304348,0.4583333333333333,0.619718309859155,26,51389.34
4,0.0,1.0,4,E_optimal_observable_subspace,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,82099.43
4,0.0,1.0,4,bayesian_information_gain,0.04347826086956519,0.9565217391304348,0.4583333333333333,0.619718309859155,26,51389.34
4,0.0,1.0,4,D_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.4489795918367347,0.6111111111111112,27,111766.56
4,0.0,1.0,4,A_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,39837.56
